"id","title","years","duration","rating","people_rating","critic_rating","votes"
308,"Willy Wonka & the Chocolate Factory","1971","100","U","7.8","67","217,356"
309,"Miracle on 34th Street","1994","114","U","6.6",NULL,"41,730"
310,"Suicide Squad","2016","123","15","5.9","40","712,805"
311,"Feast of the Seven Fishes","2019","99","12","6.8","68","2,495"
312,"Sound of Freedom","2023","131","15","7.7","36","88,512"
313,"Godzilla","2014","123","12A","6.4","62","431,664"
314,"Charlie and the Chocolate Factory","2005","115","PG","6.7","72","512,644"
315,"Uncle Buck","1989","100","12","7.1","51","105,490"
316,"Klaus","2019","96","PG","8.2","65","176,773"
317,"Jingle All The Way","1996","89","PG","5.7","34","112,308"
318,"Office Christmas Party","2016","105","15","5.9","42","85,620"
319,"Bottoms","2023","91","15","6.8","74","24,019"
320,"A Christmas Carol","2009","96","PG","6.8","55","125,935"
321,"EXmas","2023","93","12","5.7",NULL,"2,986"
322,"Christmas with the Kranks","2004","99","PG","5.4","22","55,218"
323,"The Dark Knight","2008","152","12A","9.0","84","2,810,391"
324,"Prometheus","2012","124","15","7.0","64","634,624"
325,"Gremlins","1984","106","15","7.3","70","241,301"
326,"Four Christmases","2008","88","12A","5.7","41","78,179"
327,"Mean Girls","2024","N/A",NULL,NULL,NULL,"N/A"
328,"The Naughty Nine","2023","83","TV-PG","5.1",NULL,"1,253"
329,"Titanic","1997","194","12","7.9","75","1,256,604"
330,"Watchmen","2009","162","18","7.6","56","573,653"
331,"Argylle","2024","135","PG-13",NULL,NULL,"N/A"
332,"The Zone of Interest","2023","105","PG-13","8.0","94","1,562"
333,"The Santa Clause 2","2002","104","U","5.7","48","62,429"
334,"The Lord of the Rings: The Fellowship of the Ring","2001","178","PG","8.8","92","1,963,964"
335,"Christmas as Usual","2023","88","12","5.5",NULL,"1,767"
336,"Gladiator 2","2024","N/A",NULL,NULL,NULL,"N/A"
337,"When Evil Lurks","2023","99","15","7.0","75","16,138"
338,"Blade Runner 2049","2017","164","15","8.0","81","636,040"
339,"Asteroid City","2023","105","12A","6.6","75","89,596"
340,"A Good Person","2023","128","15","7.1","50","17,285"
341,"Old Dads","2023","104","15","6.2","42","32,814"
342,"Krampus","2015","98","15","6.2","49","81,104"
343,"The Boys in the Boat","2023","124","PG-13",NULL,NULL,"N/A"
344,"Guardians of the Galaxy Vol. 3","2023","150","12A","7.9","64","350,011"
345,"Fight Club","1999","139","18","8.8","67","2,264,583"
346,"The Marsh King's Daughter","2023","109","R","5.9","46","4,343"
347,"Gran Turismo","2023","134","12A","7.2","48","62,827"
348,"Migration","2023","92","PG","7.2",NULL,"383"
349,"Fargo","1996","98","18","8.1","86","710,507"
350,"Pain Hustlers","2023","123","15","6.5","44","31,175"
351,"Dumb Money","2023","105","15","6.9","66","20,137"
352,"Saw X","2023","118","18","6.6","60","58,467"
353,"Priscilla","2023","113","15","7.1","78","6,198"
354,"Beetlejuice 2","2024","N/A",NULL,NULL,NULL,"N/A"
355,"A Christmas Story Christmas","2022","98","PG","6.7","55","16,981"
356,"Pulp Fiction","1994","154","18","8.9","95","2,169,194"
357,"Love","2015","135","18","6.1","51","65,074"
