"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
222,"Requiem for a Dream","Drama","2000","102","18","8.3","71","883,127"
223,"Transformers: Rise of the Beasts","Action","2023","127","12A","6.1","42","90,576"
224,"Parasite","Drama","2019","132","15","8.5","96","909,503"
225,"Kingdom of Heaven","Action","2005","144","15","7.2","63","307,111"
226,"The Covenant","Action","2023","123","15","7.5","63","143,199"
227,"Merry Little Batman","Animation","2023","92","PG","6.4",NULL,"1,067"
228,"American Pie","Comedy","1999","95","15","7.0","58","426,816"
229,"American Psycho","Crime","2000","102","18","7.6","64","689,309"
230,"Miracle on 34th Street","Comedy","1947","96","U","7.9","88","52,644"
231,"Leon","Action","1994","110","18","8.5","64","1,221,250"
232,"Sing 2","Animation","2021","110","U","7.4","49","81,902"
233,"Spider-Man: No Way Home","Action","2021","148","12A","8.2","71","848,010"
234,"There Will Be Blood","Drama","2007","158","12A","8.2","93","628,368"
235,"The Hunger Games: Mockingjay - Part 1","Action","2014","123","12A","6.6","64","489,690"
236,"Joker","Crime","2019","122","15","8.4","59","1,429,075"
237,"Journey to Bethlehem","Adventure","2023","99","PG","6.2",NULL,"1,032"
238,"Seven","Crime","1995","127","18","8.6","65","1,756,189"
239,"Bullet Train","Action","2022","127","15","7.3","49","396,958"
240,"Avengers: Endgame","Action","2019","181","12A","8.4","78","1,231,791"
241,"Wifelike","Sci-Fi","2022","105","15","4.9",NULL,"3,613"
242,"Harry Potter and the Goblet of Fire","Adventure","2005","157","12A","7.7","81","666,075"
243,"Don't Worry Darling","Drama","2022","123","15","6.3","48","134,877"
244,"The Whale","Drama","2022","117","15","7.7","60","191,996"
245,"The Matrix","Action","1999","136","15","8.7","73","2,011,162"
246,"Dashing Through the Snow","Comedy","2023","92","PG","5.5",NULL,"2,219"
247,"Mean Girls","Comedy","2004","97","12A","7.1","66","417,222"
248,"Heat","Action","1995","170","15","8.3","76","702,124"
249,"The Little Mermaid","Adventure","2023","135","PG","7.2","59","145,882"
250,"Little Women","Drama","2019","135","U","7.8","91","233,378"
251,"Gone Girl","Drama","2014","149","18","8.1","79","1,043,313"
252,"The Goonies","Adventure","1985","114","12A","7.7","62","292,575"
253,"American Beauty","Drama","1999","122","18","8.3","84","1,194,810"
254,"Schindler's List","Biography","1993","195","15","9.0","95","1,421,701"
255,"The Departed","Crime","2006","151","18","8.5","85","1,395,006"
256,"Blockers","Comedy","2018","102","15","6.2","69","83,963"
257,"Shazam! Fury of the Gods","Action","2023","130","12A","6.0","47","114,950"
258,"The Wicker Man","Horror","1973","88","X","7.5","87","89,828"
259,"Crazy, Stupid, Love.","Comedy","2011","118","12A","7.4","68","551,506"
260,"Last Call for Istanbul","Drama","2023","91","15","5.3",NULL,"6,600"
261,"No Time to Die","Action","2021","163","12A","7.3","68","434,205"
262,"The Silence of the Lambs","Crime","1991","118","18","8.6","86","1,513,734"
263,"Alien","Horror","1979","117","X","8.5","89","930,453"
264,"The Color Purple","Drama","1985","154","15","7.7","78","93,450"
265,"The Big Lebowski","Comedy","1998","117","18","8.1","71","846,524"
266,"Fifty Shades of Grey","Drama","2015","125","18","4.2","46","331,507"
267,"Next Goal Wins","Comedy","2023","104","12A","6.5","44","3,084"
268,"Good Boys","Adventure","2019","90","15","6.7",NULL,"79,706"
269,"The Father","Drama","2020","97","12A","8.2","88","182,506"
270,"Blade Runner","Action","1982","117","AA","8.1","84","808,268"
271,"Forrest Gump","Drama","1994","142","12","8.8","82","2,204,529"
272,"Beau Is Afraid","Comedy","2023","179","15","6.8","63","47,955"
273,"Infinity Pool","Crime","2023","117","18","6.0","72","48,287"
274,"Eight Crazy Nights","Animation","2002","76","12A","5.3","23","24,824"
275,"Scrapper","Comedy","2023","84","12A","7.0","74","3,035"
276,"Civil War","Action","R","N/A",NULL,NULL,NULL,"N/A"
277,"The Notebook","Drama","2004","123","12A","7.8","53","604,875"
278,"Chicken Run: Dawn of the Nugget","Animation","2023","101","PG","7.3","62","361"
279,"The Abyss","Adventure","1989","140","PG-13","7.5","62","187,892"
280,"Promising Young Woman","Crime","2020","113","15","7.5","72","200,427"
281,"Hypnotic","Action","2023","93","15","5.5","53","26,976"
282,"Teenage Mutant Ninja Turtles: Mutant Mayhem","Animation","2023","99","PG","7.2","74","51,617"
283,"Man of Steel","Action","2013","143","12A","7.1","55","801,709"
284,"The Night Before","Comedy","2015","101","15","6.4","58","80,471"
285,"Kong: Skull Island","Action","2017","118","12A","6.7","62","339,231"
286,"Good Will Hunting","Drama","1997","126","15","8.3","70","1,034,103"
287,"BlackBerry","Biography","2023","120","15","7.4","78","29,079"
288,"Nosferatu","Fantasy","2024","N/A",NULL,NULL,NULL,"N/A"
289,"Spirited Away","Animation","2001","125","PG","8.6","96","822,770"
290,"Tombstone","Biography","1993","130","15","7.8","50","161,691"
291,"Saving Private Ryan","Drama","1998","169","15","8.6","91","1,466,030"
292,"John Wick","Action","2014","101","15","7.4","68","722,104"
293,"Meg 2: The Trench","Action","2023","116","12A","5.0","40","66,746"
294,"How to Have Sex","Drama","2023","91","15","7.1","80","2,052"
295,"Fred Claus","Comedy","2007","116","PG","5.7","42","46,636"
296,"Mad Max","Action","1979","88","X","6.8","73","218,055"
297,"The Prestige","Drama","2006","130","12A","8.5","66","1,411,790"
298,"Harry Potter and the Deathly Hallows: Part 2","Adventure","2011","130","12A","8.1","85","927,763"
299,"No Country for Old Men","Crime","2007","122","15","8.2","92","1,035,337"
300,"Hereditary","Drama","2018","127","15","7.3","87","363,447"
301,"Good Grief","Comedy","2023","100","R",NULL,NULL,"N/A"
302,"The Killing of a Sacred Deer","Drama","2017","121","15","7.0","73","173,227"
303,"Deck the Halls","Comedy","2006","93","PG","5.0","28","31,801"
304,"Your Christmas or Mine 2","Comedy","2023","101",NULL,"5.8",NULL,"775"
305,"Nativity!","Comedy","2009","105","U","6.4",NULL,"11,935"
306,"Troy","Drama","2004","163","15","7.3","56","560,683"
307,"The Burial","Drama","2023","126","15","7.1","74","25,352"
308,"Strays","Adventure","2023","93","15","6.3","54","21,630"
309,"National Lampoon's Vacation","Adventure","1983","98","15","7.3","55","117,952"
310,"Back to the Future","Adventure","1985","116","PG","8.5","87","1,278,294"
