id,title,genre,years,duration,rating,people_rating,critic_rating,votes
319,Pride & Prejudice,Drama,2005,129,PG,7.8,82,"321,479"
320,Prisoners,Crime,2013,153,R,8.1,70,"783,452"
321,The Exorcist,Horror,1973,122,R,8.1,82,"446,151"
322,Wind River,Crime,2017,107,R,7.7,73,"273,354"
323,The Lord of the Rings: The Return of the King,Action,2003,201,PG-13,9,94,"1,937,309"
324,Your Christmas or Mine?,Comedy,2022,95,,6.4,,"8,031"
325,The Bikeriders,Crime,2023,116,R,7.6,71,967
326,What Happens Later,Comedy,2023,103,R,4.9,65,"1,382"
327,Greater,Biography,2016,130,PG,7.3,35,"7,489"
328,Harry Potter and the Prisoner of Azkaban,Adventure,2004,142,PG,7.9,82,"675,391"
329,Monster,Drama,2023,126,PG-13,8.1,82,"3,866"
330,Scarface,Crime,1983,170,18+,8.3,65,"895,960"
331,The Banshees of Inisherin,Comedy,2022,114,R,7.7,87,"235,112"
332,The Nun II,Horror,2023,110,R,5.6,47,"50,336"
333,Evil Dead Rise,Horror,2023,96,R,6.5,69,"126,185"
334,The Santa Clause 3: The Escape Clause,Adventure,2006,92,G,4.8,32,"41,560"
335,The Equalizer,Action,2014,132,R,7.2,57,"407,280"
336,A Man Called Otto,Comedy,2022,126,PG-13,7.5,51,"143,390"
337,Jurassic Park,Action,1993,127,PG-13,8.2,68,"1,045,213"
338,The Beekeeper,Action,2024,105,R,,,N/A
339,Four Weddings and a Funeral,Comedy,1994,117,R,7.1,81,"162,467"
340,Harry Potter and the Chamber of Secrets,Adventure,2002,161,PG,7.4,63,"676,333"
341,Kandahar,Action,2023,119,R,6.1,52,"27,237"
342,Indiana Jones and the Temple of Doom,Action,1984,118,PG,7.5,57,"526,613"
343,Love Hard,Comedy,2021,104,TV-MA,6.3,42,"59,339"
344,Wicked,Fantasy,2024,N/A,,,,N/A
345,The Green Mile,Crime,1999,189,R,8.6,61,"1,376,562"
346,Eternal Sunshine of the Spotless Mind,Drama,2004,108,R,8.3,89,"1,056,430"
347,Joy Ride,Comedy,2023,95,R,6.4,74,"18,165"
348,Godzilla,Horror,1954,96,Not Rated,7.5,78,"37,467"
349,Shutter Island,Mystery,2010,138,R,8.2,63,"1,415,777"
350,Spider-Man: Into the Spider-Verse,Animation,2018,117,PG,8.4,87,"644,844"
351,Beverly Hills Cop: Axel Foley,Action,2024,N/A,,,,N/A
352,Australia,Adventure,2008,165,PG-13,6.6,53,"128,619"
353,365 Days,Drama,2020,114,TV-MA,3.3,,"96,355"
354,Belfast,Biography,2021,98,PG-13,7.2,75,"86,663"
355,Noelle,Comedy,2019,100,G,6.3,48,"25,517"
356,The Lost City,Action,2022,112,PG-13,6.1,60,"147,708"
357,Sisu,Action,2022,91,R,6.9,70,"63,322"
358,Get Out,Horror,2017,104,R,7.8,85,"673,109"
359,Star Wars: Episode IV - A New Hope,Action,1977,121,PG,8.6,90,"1,425,777"
360,Frozen,Animation,2013,102,PG,7.4,75,"652,986"
361,Twilight,Drama,2008,122,PG-13,5.3,56,"480,711"
362,The Favourite,Biography,2018,119,R,7.5,91,"215,613"
363,A Boy Called Christmas,Adventure,2021,106,PG,6.7,61,"25,494"
364,Jeanne du Barry,Biography,2023,113,,6.7,51,"8,324"
365,The Dark Knight Rises,Action,2012,164,PG-13,8.4,78,"1,792,553"
366,Tenet,Action,2020,150,PG-13,7.3,69,"570,984"
367,Oldboy,Action,2003,120,R,8.4,78,"618,998"
368,The Meg,Action,2018,113,PG-13,5.6,46,"202,505"
369,The Sacrifice Game,Horror,2023,90,,5.4,56,679
370,No One Will Save You,Horror,2023,93,PG-13,6.3,60,"54,971"
371,The Noel Diary,Comedy,2022,99,TV-14,6.1,63,"18,036"
372,Renfield,Comedy,2023,93,R,6.4,53,"83,382"
373,Her,Drama,2013,126,R,8,91,"654,682"
374,Taken,Action,2008,90,PG-13,7.8,51,"625,179"
375,The Secret: Dare to Dream,Drama,2020,107,PG,6.5,32,"16,714"
376,Call Me by Your Name,Drama,2017,132,R,7.8,94,"302,176"
377,Harry Potter and the Deathly Hallows: Part 1,Adventure,2010,146,PG-13,7.7,65,"585,111"
378,Catch Me If You Can,Biography,2002,141,PG-13,8.1,75,"1,064,312"
379,Nobody,Action,2021,92,R,7.4,64,"311,592"
380,The Family Man,Comedy,2000,125,PG-13,6.8,42,"116,535"
381,The Last Duel,Action,2021,152,R,7.4,67,"175,592"
382,The Last Voyage of the Demeter,Fantasy,2023,118,R,6.1,52,"37,851"
383,Girl in the Basement,Crime,2021,88,TV-14,6.3,,"12,411"
384,"Planes, Trains & Automobiles",Comedy,1987,93,R,7.6,72,"156,732"
385,Indiana Jones and the Kingdom of the Crystal Skull,Action,2008,122,PG-13,6.2,65,"484,489"
386,Indiana Jones and the Last Crusade,Action,1989,127,PG-13,8.2,65,"798,177"
387,Beetlejuice,Comedy,1988,92,PG,7.5,70,"331,071"
388,Pirates of the Caribbean: The Curse of the Black Pearl,Action,2003,143,PG-13,8.1,63,"1,186,132"
389,65,Action,2023,93,PG-13,5.4,40,"80,771"
390,The Lobster,Drama,2015,119,R,7.1,82,"280,232"
391,Femme,Thriller,2023,99,,7.8,67,514
392,Dazed and Confused,Comedy,1993,103,R,7.6,82,"195,929"
393,Barbarian,Horror,2022,102,R,7,78,"168,495"
394,The Sound of Music,Biography,1965,172,G,8.1,63,"252,692"
395,2001: A Space Odyssey,Adventure,1968,149,G,8.3,84,"705,663"
396,Silent Night,Comedy,2021,92,,5.7,52,"17,346"
397,The Truman Show,Comedy,1998,103,PG,8.2,90,"1,162,682"
398,Don't Look Up,Comedy,2021,138,R,7.2,49,"579,448"
399,Inside Out 2,Animation,2024,N/A,,,,N/A
400,Drive,Action,2011,100,R,7.8,79,"690,086"
401,The Outsiders,Crime,1983,91,PG,7,45,"95,012"
